"E","Fmax","d"
13.4599177438148,41.9326171875,41.9326171875
NA,52.6230468749999,52.6230468749999
12.2602740317321,47.4433593749999,47.4433593749999
60.1830832072247,32.6249999999999,32.6249999999999
47.7232142506006,98.9208984374999,98.9208984374999
42.4261673440029,57.4511718749999,57.4511718749999
NA,73.0576171875,73.0576171875
36.3242631645702,62.9765624999999,62.9765624999999
15.0978130388399,69.0673828125,69.0673828125
NA,69.69140625,69.69140625
2.96212211968042,55.93359375,55.93359375
NA,19.5380859375,19.5380859375
19.7170460588584,42.48046875,42.48046875
32.8863260187584,84.0380859374999,84.0380859374999
41.636694336579,42.46875,42.46875
33.2565376180344,71.6513671874999,71.6513671874999
43.9961003652536,55.0283203125,55.0283203125
50.1779754823794,67.9482421875,67.9482421875
9.47522957979058,82.2568359375,82.2568359375
56.6044226044854,44.0888671875,44.0888671875
9.72438395356644,42.62109375,42.62109375
NA,68.595703125,68.595703125
22.2727336321189,58.23046875,58.23046875
NA,42.0380859375,42.0380859375
36.240625291551,45.3281249999999,45.3281249999999
32.7438944205041,70.546875,70.546875
35.7675429493023,88.3447265625,88.3447265625
NA,80.75390625,80.75390625
43.5368625378321,39.08203125,39.08203125
11.7852930760605,41.5019531249999,41.5019531249999
18.542241902486,49.0634765625,49.0634765625
NA,83.8857421875,83.8857421875
24.0461222689551,63.626953125,63.626953125
26.6534519396523,46.2099609374999,46.2099609374999
21.4087631335094,55.9716796875,55.9716796875
38.3172446681253,65.4521484375,65.4521484375
9.38485592795793,36.31640625,36.31640625
40.4780193501133,53.09765625,53.09765625
NA,42.3251953125,42.3251953125
36.9409838077205,46.2041015625,46.2041015625
14.1696321061271,54.2900390625,54.2900390625
31.2868968620252,62.4462890625,62.4462890625
41.5584354410243,57.22265625,57.22265625
NA,68.2412109375,68.2412109375
NA,44.82421875,44.82421875
19.6920202188514,24.6298828124999,24.6298828124999
48.7205206937834,35.26171875,35.26171875
23.0471578064204,88.3037109375,88.3037109375
13.8899283771879,64.1220703124999,64.1220703124999
22.7387603651928,83.1357421875,83.1357421875
110.209078045966,29.185546875,29.185546875
50.7027416741298,42.046875,42.046875
NA,47.3759765625,47.3759765625
42.535054418468,58.5673828124999,58.5673828124999
21.8762121544218,37.3681640625,37.3681640625
34.2641062723536,89.5810546875,89.5810546875
NA,70.5380859375,70.5380859375
25.301729380495,54.5126953125,54.5126953125
32.4465185307911,84.8291015625,84.8291015625
NA,37.4472656249999,37.4472656249999
27.0466686835013,57.5009765625,57.5009765625
30.3410296349909,74.94140625,74.94140625
2.82226397539533,28.06640625,28.06640625
29.7615985377061,77.8095703125,77.8095703125
0.650978565711062,41.4404296874999,41.4404296874999
NA,30.8408203125,30.8408203125
48.6302320977233,39.685546875,39.685546875
25.3878361457875,40.412109375,40.412109375
16.1639087672472,51.9726562499999,51.9726562499999
NA,63.9638671875,63.9638671875
NA,64.8427734375,64.8427734375
NA,74.4521484375,74.4521484375
37.3264198721017,51.3955078125,51.3955078125
60.5985791699662,75.7939453125,75.7939453125
NA,61.9775390624999,61.9775390624999
11.0587053871933,60.416015625,60.416015625
13.7680048998276,36.4306640625,36.4306640625
NA,50.9296875,50.9296875
11.8081089145543,37.5556640625,37.5556640625
NA,76.1806640625,76.1806640625
19.2519557055249,50.94140625,50.94140625
11.0855182700058,60.5625,60.5625
33.4931421707407,72.1611328125,72.1611328125
40.6781786757159,86.4814453125,86.4814453125
26.3287130925244,55.9746093749999,55.9746093749999
25.7930061659095,82.93359375,82.93359375
31.6969248785472,54.1435546875,54.1435546875
20.5602368282375,66.1083984375,66.1083984375
NA,79.189453125,79.189453125
NA,71.408203125,71.408203125
4.57231823694472,52.447265625,52.447265625
0.287785819387865,30.8994140625,30.8994140625
13.6803844188904,117.978515625,117.978515625
48.5101359918202,82.86328125,82.86328125
NA,85.4853515625,85.4853515625
NA,114.7177734375,114.7177734375
0.357654597100745,50.5400390625,50.5400390625
NA,80.279296875,80.279296875
78.1888353310413,47.7626953125,47.7626953125
42.5998712263057,72.767578125,72.767578125
46.2202484684298,63.6416015625,63.6416015625
10.0026713893371,32.162109375,32.162109375
6.59811420250345,36.0468749999999,36.0468749999999
NA,47.1123046875,47.1123046875
4.85914168572635,55.7373046875,55.7373046875
48.0811825048973,76.53515625,76.53515625
19.8280161777944,74.5517578125,74.5517578125
43.3175279225715,58.658203125,58.658203125
33.1795127107994,45.685546875,45.685546875
16.2219386504498,62.1533203125,62.1533203125
13.8337171069502,52.013671875,52.013671875
11.5637075644504,24.9140625,24.9140625
24.3768407174282,41.6396484374999,41.6396484374999
4.56168955759836,74.5048828125,74.5048828125
8.07609250858265,50.6865234375,50.6865234375
21.7820971245667,70.037109375,70.037109375
53.3826879408077,57.521484375,57.521484375
NA,70.376953125,70.376953125
24.2152521528379,52.171875,52.171875
NA,33.8203125,33.8203125
26.4523639550699,45.861328125,45.861328125
28.8684750227285,62.197265625,62.197265625
34.2122153547376,36.17578125,36.17578125
35.0483761787408,43.8369140625,43.8369140625
94.0090456528085,50.9619140625,50.9619140625
NA,66.0498046875,66.0498046875
31.3412716732796,55.7021484375,55.7021484375
29.43319760888,51.029296875,51.029296875
43.330508901871,58.67578125,58.67578125
27.9275724470065,48.4189453125,48.4189453125
26.1259651955354,43.3828125,43.3828125
8.34519745472725,44.501953125,44.501953125
20.5536804403182,28.30078125,28.30078125
28.2420862210854,73.8369140625,73.8369140625
NA,59.7978515625,59.7978515625
11.0733129279972,57.6796875,57.6796875
14.5917600783939,38.6103515625,38.6103515625
