    ms         	pN
0.000000e+000	-4.054384e-001
7.812500e-003	-2.766657e+000
1.562500e-002	-4.060628e-001
2.343750e-002	1.167335e+000
3.125000e-002	-4.071556e-001
3.906250e-002	1.166002e+000
4.687500e-002	4.313072e+000
5.468751e-002	-5.131610e+000
6.250000e-002	-1.851140e+001
7.031250e-002	-2.244745e+001
7.812501e-002	-1.693988e+001
8.593751e-002	-8.284506e+000
9.375001e-002	-6.712021e+000
1.015625e-001	-5.139764e+000
1.093750e-001	-4.195959e-001
1.171875e-001	5.874354e+000
1.250000e-001	8.233339e+000
1.328125e-001	8.231262e+000
1.406250e-001	9.016034e+000
1.484375e-001	4.291819e+000
1.562500e-001	-2.006394e+000
1.640625e-001	-2.008892e+000
1.718750e-001	1.136414e+000
1.796875e-001	5.855634e+000
1.875000e-001	9.000759e+000
1.953125e-001	9.784810e+000
2.031250e-001	1.450375e+001
2.109375e-001	1.843554e+001
2.187500e-001	1.685848e+001
2.265625e-001	1.449426e+001
2.343750e-001	1.685187e+001
2.421875e-001	1.763539e+001
2.500000e-001	1.212301e+001
2.578125e-001	1.448039e+001
2.656250e-001	2.313350e+001
2.734375e-001	2.234281e+001
2.812500e-001	1.289514e+001
2.890624e-001	7.382476e+000
2.968749e-001	7.378525e+000
3.046874e-001	3.439514e+000
3.124999e-001	-5.221346e+000
3.203124e-001	-1.073438e+001
3.281249e-001	-1.073858e+001
3.359374e-001	-1.074286e+001
3.437499e-001	-1.468204e+001
3.515623e-001	-1.704737e+001
3.593748e-001	-1.311694e+001
3.671873e-001	-1.076045e+001
3.749998e-001	-9.978007e+000
3.828123e-001	-1.391743e+001
3.906248e-001	-1.785688e+001
3.984373e-001	-1.392665e+001
4.062497e-001	-5.274518e+000
4.140622e-001	-6.066170e+000
4.218747e-001	-1.236671e+001
4.296872e-001	-1.315851e+001
4.374997e-001	-8.047876e+000
4.453122e-001	-3.527533e+000
4.531247e-001	9.927982e-001
4.609372e-001	2.010381e-001
4.687496e-001	5.705089e+000
4.765621e-001	4.913317e+000
4.843746e-001	-3.748288e+000
4.921871e-001	-1.162296e+001
4.999996e-001	-1.162780e+001
5.078121e-001	-1.005871e+001
5.156246e-001	-1.406750e+000
5.234372e-001	4.097313e+000
5.312497e-001	9.445980e-001
5.390622e-001	-2.208081e+000
5.468747e-001	-4.573803e+000
5.546872e-001	-7.726445e+000
5.624997e-001	-1.402699e+001
5.703123e-001	-1.639263e+001
5.781248e-001	-1.639728e+001
5.859373e-001	-1.010607e+001
5.937498e-001	-6.962640e+000
6.015623e-001	-6.967179e+000
6.093748e-001	2.472041e+000
6.171874e-001	4.828552e+000
6.249999e-001	1.676222e+000
6.328124e-001	8.754643e+000
6.406249e-001	1.347225e+001
6.484374e-001	1.504191e+001
6.562499e-001	1.188979e+001
6.640624e-001	1.109870e+001
6.718750e-001	9.520622e+000
6.796875e-001	8.729666e+000
6.875000e-001	9.512673e+000
6.953125e-001	1.580474e+001
7.031250e-001	1.501388e+001
7.109375e-001	-1.516467e+000
7.187501e-001	-3.880965e+000
7.265626e-001	-7.032442e+000
7.343751e-001	-1.569283e+001
7.421876e-001	-2.041806e+001
7.500001e-001	-1.884747e+001
7.578126e-001	-1.019392e+001
7.656252e-001	-9.410004e+000
7.734377e-001	-8.626109e+000
7.812502e-001	2.771448e-002
7.890627e-001	6.320668e+000
7.968752e-001	9.465817e+000
8.046877e-001	4.741326e+000
8.125002e-001	-7.701096e-001
8.203128e-001	-3.920495e+000
8.281253e-001	-6.283827e+000
8.359378e-001	-8.647051e+000
8.437503e-001	-3.927280e+000
8.515628e-001	5.514390e+000
8.593753e-001	1.495619e+001
8.671879e-001	2.282419e+001
8.750004e-001	2.990536e+001
8.828129e-001	3.698652e+001
8.906254e-001	4.328084e+001
8.984379e-001	4.957539e+001
9.062504e-001	6.216577e+001
9.140630e-001	7.082140e+001
9.218755e-001	7.475522e+001
9.296880e-001	8.183718e+001
9.375005e-001	8.419734e+001
9.453130e-001	8.183568e+001
9.531255e-001	7.868719e+001
9.609381e-001	8.026063e+001
9.687506e-001	8.655623e+001
9.765631e-001	8.734295e+001
9.843756e-001	8.498189e+001
9.921881e-001	8.262105e+001
1.000001e+000	7.711231e+001
1.007813e+000	6.766881e+001
1.015626e+000	5.665144e+001
1.023438e+000	4.091226e+001
1.031251e+000	3.068217e+001
1.039063e+000	2.202611e+001
1.046876e+000	1.258310e+001
1.054688e+000	1.101016e+001
1.062501e+000	1.022428e+001
1.070313e+000	3.929537e+000
1.078126e+000	-7.909676e-001
1.085938e+000	-1.576616e+000
1.093751e+000	-6.296892e+000
1.101563e+000	-1.337813e+001
1.109376e+000	-1.809819e+001
1.117188e+000	-1.573549e+001
1.125001e+000	-1.101158e+001
1.132813e+000	-5.500629e+000
1.140626e+000	-9.433312e+000
1.148438e+000	-1.572695e+001
1.156251e+000	-1.415055e+001
1.164063e+000	1.591614e+000
1.171876e+000	1.418587e+001
1.179688e+000	1.969743e+001
1.187501e+000	2.363510e+001
1.195314e+000	1.970312e+001
1.203126e+000	1.341028e+001
1.210939e+000	1.026544e+001
1.218751e+000	5.546692e+000
1.226564e+000	7.910912e+000
1.234376e+000	1.184912e+001
1.242189e+000	7.130728e+000
1.250001e+000	5.560225e+000
1.257814e+000	4.776870e+000
1.265626e+000	-1.515387e+000
1.273439e+000	-8.594420e+000
1.281251e+000	-8.590601e+000
1.289064e+000	8.570116e-001
1.296876e+000	7.943863e+000
1.304689e+000	5.586930e+000
1.312501e+000	2.443101e+000
1.320314e+000	-7.006433e-001
1.328126e+000	-3.844340e+000
1.335939e+000	-6.987989e+000
