    ms         	pN
1.507814e+000	-1.251377e+001
1.515627e+000	-1.246529e+001
1.523439e+000	-6.119353e+000
1.531252e+000	-2.135228e+000
1.539064e+000	5.784666e+000
1.546877e+000	8.981030e+000
1.554689e+000	7.453887e+000
1.562502e+000	4.351942e+000
1.570314e+000	-2.686312e+000
1.578127e+000	-1.129939e+001
1.585939e+000	-1.440244e+001
1.593752e+000	-4.123502e+000
1.601564e+000	-9.298161e-001
1.609377e+000	-1.190637e+001
1.617189e+000	-1.737302e+001
1.625002e+000	-1.418097e+001
1.632814e+000	-1.177667e+001
1.640627e+000	-4.649777e+000
1.648439e+000	6.412493e+000
1.656252e+000	1.353811e+001
1.664064e+000	9.642143e+000
1.671877e+000	-1.339325e+000
1.679690e+000	-1.232155e+001
1.687502e+000	-1.070925e+001
1.695315e+000	-4.374446e+000
1.703127e+000	-4.021242e-001
1.710940e+000	1.207778e+000
1.718752e+000	2.029618e+000
1.726565e+000	5.999454e+000
1.734377e+000	7.606786e+000
1.742190e+000	3.702766e+000
1.750002e+000	-2.563722e+000
1.757815e+000	-5.682370e+000
1.765627e+000	-1.717193e+000
1.773440e+000	3.034268e+000
1.781252e+000	6.997535e+000
1.789065e+000	1.017256e+001
1.796877e+000	1.649539e+001
1.804690e+000	1.966835e+001
1.812502e+000	2.126592e+001
1.820315e+000	2.286235e+001
1.828127e+000	2.130890e+001
1.835940e+000	1.424390e+001
1.843752e+000	1.032662e+001
1.851565e+000	9.557043e+000
1.859377e+000	4.063114e+000
1.867190e+000	-6.942310e+000
1.875002e+000	-1.401294e+001
1.882815e+000	-1.006389e+001
1.890627e+000	1.816932e-001
1.898440e+000	-1.382014e+000
1.906252e+000	-9.244474e+000
1.914065e+000	-7.661699e+000
1.921877e+000	-5.292890e+000
1.929690e+000	-8.435758e+000
1.937503e+000	-1.472858e+001
1.945315e+000	-1.944819e+001
1.953128e+000	-1.629698e+001
1.960940e+000	-9.998180e+000
1.968752e+000	-1.157260e+001
1.976565e+000	-1.550774e+001
1.984377e+000	-2.023359e+001
1.992190e+000	-1.866269e+001
