    ms         	pN
1.515627e+000	6.894495e+000
1.523439e+000	1.352150e+000
1.531252e+000	-2.616521e+000
1.539064e+000	-5.011542e+000
1.546877e+000	-9.766726e+000
1.554689e+000	-1.373500e+001
1.562502e+000	-1.219562e+001
1.570314e+000	-7.508884e+000
1.578127e+000	-4.395544e+000
1.585939e+000	2.915905e-001
1.593752e+000	4.979049e+000
1.601564e+000	2.585721e+000
1.609377e+000	9.795053e-001
1.617189e+000	3.307462e+000
1.625002e+000	-1.445188e+000
1.632814e+000	-6.984290e+000
1.640627e+000	-1.252302e+001
1.648439e+000	-1.176708e+001
1.656252e+000	-7.076872e+000
1.664064e+000	-4.746526e+000
1.671877e+000	-5.542897e-002
1.679690e+000	3.849383e+000
1.687502e+000	2.247239e+000
1.695315e+000	-1.714756e+000
1.703127e+000	-6.462975e+000
1.710940e+000	-4.916451e+000
1.718752e+000	-2.582575e+000
1.726565e+000	2.112173e+000
1.734377e+000	5.233967e+000
1.742190e+000	4.422514e+000
1.750002e+000	1.251259e+000
1.757815e+000	-1.919288e+000
1.765627e+000	-1.155303e+000
1.773440e+000	-3.537812e+000
1.781252e+000	-5.919648e+000
1.789065e+000	-9.087553e+000
1.796877e+000	-8.320841e+000
1.804690e+000	-2.046009e+000
1.812502e+000	6.589887e+000
1.820315e+000	1.207942e+001
1.828127e+000	1.048870e+001
1.835940e+000	1.125907e+001
1.843752e+000	1.045660e+001
1.851565e+000	5.721060e+000
1.859377e+000	4.920150e+000
1.867190e+000	9.729249e-001
1.875002e+000	1.736718e-001
1.882815e+000	1.619640e-001
1.890627e+000	-6.357160e-001
1.898440e+000	-3.792898e+000
1.906252e+000	1.317639e-001
1.914065e+000	1.233583e-001
1.921877e+000	-1.457760e+000
1.929690e+000	1.682610e+000
1.937503e+000	4.823833e+000
1.945315e+000	6.392355e+000
1.953128e+000	5.601424e+000
1.960940e+000	2.450943e+000
1.968752e+000	-4.632534e+000
1.976565e+000	-1.014154e+001
1.984377e+000	-1.486301e+001
1.992190e+000	-1.407603e+001
