    nm         	pN
5.955606e+001	-4.228284e+000
5.952448e+001	-6.581373e+000
5.949720e+001	-4.213358e+000
5.944817e+001	-2.628962e+000
5.936626e+001	-4.187109e+000
5.928131e+001	-2.597092e+000
5.918591e+001	5.685192e-001
5.901314e+001	-8.844955e+000
5.880402e+001	-2.218759e+001
5.862191e+001	-2.609094e+001
5.846691e+001	-2.055512e+001
5.830934e+001	-1.187111e+001
5.810096e+001	-1.026167e+001
5.787537e+001	-8.649657e+000
5.764762e+001	-3.889418e+000
5.741041e+001	2.446139e+000
5.713784e+001	4.852496e+000
5.683753e+001	4.902294e+000
5.652456e+001	5.740981e+000
5.616932e+001	1.077575e+000
5.579064e+001	-5.156023e+000
5.542595e+001	-5.096223e+000
5.506056e+001	-1.888548e+000
5.468729e+001	2.894290e+000
5.429146e+001	6.106673e+000
5.386961e+001	6.962232e+000
5.345176e+001	1.175196e+001
5.301587e+001	1.575746e+001
5.253985e+001	1.426062e+001
5.204634e+001	1.197945e+001
5.156166e+001	1.441862e+001
5.105635e+001	1.528702e+001
5.050839e+001	9.866464e+000
4.998507e+001	1.231156e+001
4.947928e+001	2.104949e+001
4.891691e+001	2.035281e+001
4.830201e+001	1.100769e+001
4.769449e+001	5.596345e+000
4.710213e+001	5.691136e+000
4.648064e+001	1.855598e+000
4.582664e+001	-6.696530e+000
4.517774e+001	-1.210172e+001
4.454546e+001	-1.200089e+001
4.390413e+001	-1.189869e+001
4.323555e+001	-1.572700e+001
4.256614e+001	-1.798139e+001
4.191864e+001	-1.394368e+001
4.125623e+001	-1.147752e+001
4.057931e+001	-1.058311e+001
3.987342e+001	-1.440588e+001
3.916128e+001	-1.822774e+001
3.848055e+001	-1.418511e+001
3.781674e+001	-5.423429e+000
3.710330e+001	-6.097463e+000
3.635926e+001	-1.227546e+001
3.563716e+001	-1.294838e+001
3.493929e+001	-7.722903e+000
3.423537e+001	-3.086599e+000
3.352865e+001	1.549694e+000
3.279444e+001	8.785059e-001
3.208806e+001	6.498518e+000
3.135041e+001	5.827739e+000
3.057450e+001	-2.706677e+000
2.980171e+001	-1.045474e+001
2.906597e+001	-1.033909e+001
2.833795e+001	-8.650882e+000
2.764415e+001	1.145324e-001
2.693663e+001	5.734233e+000
2.618977e+001	2.703519e+000
2.544497e+001	-3.275665e-001
2.470637e+001	-2.572776e+000
2.396697e+001	-5.604870e+000
2.321606e+001	-1.178303e+001
2.248754e+001	-1.403004e+001
2.177442e+001	-1.391864e+001
2.109574e+001	-7.517098e+000
2.040725e+001	-4.261787e+000
1.970938e+001	-4.152982e+000
1.906210e+001	5.391224e+000
1.838768e+001	7.857093e+000
1.769396e+001	4.817229e+000
1.705578e+001	1.199893e+001
1.641402e+001	1.682036e+001
1.576534e+001	1.849489e+001
1.510270e+001	1.544989e+001
1.445998e+001	1.476259e+001
1.382269e+001	1.328733e+001
1.319863e+001	1.259697e+001
1.259191e+001	1.347767e+001
1.202151e+001	1.986143e+001
1.142824e+001	1.916595e+001
1.077152e+001	2.741308e+000
1.019311e+001	4.696453e-001
9.622651e+000	-2.590356e+000
9.038145e+000	-1.115702e+001
8.484580e+000	-1.579364e+001
7.973444e+000	-1.414146e+001
7.508766e+000	-5.413967e+000
7.020144e+000	-4.552236e+000
6.545082e+000	-3.692787e+000
6.121095e+000	5.028161e+000
5.700074e+000	1.138772e+001
5.278576e+000	1.459951e+001
4.834528e+000	9.945309e+000
4.401679e+000	4.502271e+000
3.995161e+000	1.415948e+000
3.607772e+000	-8.864672e-001
3.236010e+000	-3.191405e+000
2.913592e+000	1.578537e+000
2.629563e+000	1.106408e+001
2.361785e+000	2.054704e+001
2.103008e+000	2.845471e+001
1.857127e+000	3.557340e+001
1.628030e+000	4.268931e+001
1.412162e+000	4.901619e+001
1.213385e+000	5.534047e+001
1.061615e+000	6.795287e+001
9.085948e-001	7.663069e+001
7.507204e-001	8.058750e+001
6.253137e-001	8.768711e+001
4.952549e-001	9.006564e+001
3.606294e-001	8.772311e+001
2.401140e-001	8.459143e+001
1.598360e-001	8.617508e+001
1.198390e-001	9.247428e+001
7.178734e-002	9.326593e+001
2.687542e-002	9.090926e+001
0.000000e+000	8.854720e+001
